CaseID,event
Case1,asubmitted
Case1,apartlysubmitted
Case1,adeclined
Case2,asubmitted
Case2,apartlysubmitted
Case2,apreaccepted
Case2,wafhandelenleads
Case2,wcompleterenaanvraag
Case2,wcompleterenaanvraag
Case2,aaccepted
Case2,oselected
Case2,afinalized
Case2,ocreated
Case2,osent
Case2,wcompleterenaanvraag
Case2,wnabellenoffertes
Case2,wnabellenoffertes
Case2,osentback
Case2,wnabellenoffertes
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case3,asubmitted
Case3,apartlysubmitted
Case3,wafhandelenleads
Case3,adeclined
Case3,wafhandelenleads
Case4,asubmitted
Case4,apartlysubmitted
Case4,wbeoordelenfraude
Case4,adeclined
Case4,wbeoordelenfraude
