CaseID,event
Case2,asubmitted
Case2,apartlysubmitted
Case2,apreaccepted
Case2,wafhandelenleads
Case2,wcompleterenaanvraag
Case2,wcompleterenaanvraag
Case2,aaccepted
Case2,oselected
Case2,afinalized
Case2,ocreated
Case2,osent
Case2,wcompleterenaanvraag
Case2,wnabellenoffertes
Case2,wnabellenoffertes
Case2,osentback
Case2,wnabellenoffertes
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
Case2,wnabellenincompletedossiers
Case2,wnabellenincompletedossiers
Case2,wvaliderenaanvraag
